unit: MeV 
spectrum:
4.180417041704170278e-01 1.000000000000000048e-04
4.190418041804180316e-01 1.000000000000000048e-04
4.200419041904190354e-01 1.000000000000000048e-04
4.210420042004200392e-01 1.000000000000000048e-04
4.220421042104210430e-01 1.000000000000000048e-04
4.230422042204220467e-01 1.000000000000000048e-04
4.240423042304230505e-01 1.000000000000000048e-04
4.250424042404240543e-01 1.000000000000000048e-04
4.260425042504250581e-01 1.000000000000000048e-04
4.270426042604260619e-01 1.000000000000000048e-04
4.280427042704270657e-01 1.000000000000000048e-04
4.290428042804280695e-01 1.000000000000000048e-04
4.300429042904290733e-01 1.000000000000000048e-04
4.310430043004300216e-01 1.000000000000000048e-04
4.320431043104310254e-01 1.000000000000000048e-04
4.330432043204320292e-01 1.000000000000000048e-04
4.340433043304330329e-01 1.000000000000000048e-04
4.350434043404340367e-01 1.000000000000000048e-04
4.360435043504350405e-01 1.000000000000000048e-04
4.370436043604360443e-01 1.000000000000000048e-04
4.380437043704370481e-01 1.000000000000000048e-04
4.390438043804380519e-01 1.000000000000000048e-04
4.400439043904390557e-01 1.000000000000000048e-04
4.410440044004400595e-01 1.000000000000000048e-04
4.420441044104410633e-01 1.000000000000000048e-04
4.430442044204420671e-01 1.000000000000000048e-04
4.440443044304430709e-01 1.000000000000000048e-04
4.450444044404440747e-01 1.000000000000000048e-04
4.460445044504450229e-01 1.000000000000000048e-04
4.470446044604460267e-01 1.000000000000000048e-04
4.480447044704470305e-01 1.000000000000000048e-04
4.490448044804480343e-01 1.000000000000000048e-04
4.500449044904490381e-01 1.000000000000000048e-04
4.510450045004500419e-01 1.000000000000000048e-04
4.520451045104510457e-01 1.000000000000000048e-04
4.530452045204520495e-01 1.000000000000000048e-04
4.540453045304530533e-01 1.000000000000000048e-04
4.550454045404540571e-01 1.000000000000000048e-04
4.560455045504550609e-01 1.000000000000000048e-04
4.570456045604560646e-01 1.000000000000000048e-04
4.580457045704570684e-01 1.000000000000000048e-04
4.590458045804580722e-01 1.000000000000000048e-04
4.600459045904590760e-01 1.000000000000000048e-04
4.610460046004600243e-01 1.000000000000000048e-04
4.620461046104610281e-01 1.000000000000000048e-04
4.630462046204620319e-01 1.000000000000000048e-04
4.640463046304630357e-01 1.000000000000000048e-04
4.650464046404640395e-01 1.000000000000000048e-04
4.660465046504650433e-01 1.000000000000000048e-04
4.670466046604660471e-01 1.000000000000000048e-04
