unit: GeV 
spectrum:
5.605436054360544290e-02 1.177638560536339440e+01
5.615426154261542874e-02 1.174688336636353903e+01
5.625416254162542151e-02 1.171749271472161880e+01
5.635406354063540735e-02 1.168821305159526780e+01
5.645396453964540012e-02 1.165904378238519001e+01
5.655386553865539290e-02 1.162998431669773147e+01
5.665376653766537873e-02 1.160103406830774553e+01
5.675366753667537151e-02 1.157219245512193062e+01
5.685356853568536428e-02 1.154345889914252332e+01
5.695346953469535012e-02 1.151483282643136619e+01
5.705337053370534289e-02 1.148631366707436285e+01
5.715327153271532873e-02 1.145790085514632040e+01
5.725317253172532150e-02 1.142959382867612206e+01
5.735307353073531428e-02 1.140139202961230147e+01
5.745297452974530011e-02 1.137329490378897034e+01
5.755287552875529289e-02 1.134530190089206769e+01
5.765277652776527872e-02 1.131741247442599807e+01
5.775267752677527150e-02 1.128962608168060555e+01
5.785257852578526427e-02 1.126194218369847988e+01
5.795247952479525011e-02 1.123436024524261434e+01
5.805238052380524288e-02 1.120687973476437804e+01
5.815228152281523566e-02 1.117950012437184171e+01
5.825218252182522150e-02 1.115222088979842496e+01
5.835208352083521427e-02 1.112504151037183675e+01
5.845198451984520011e-02 1.109796146898338876e+01
5.855188551885519288e-02 1.107098025205755398e+01
5.865178651786518566e-02 1.104409734952190902e+01
5.875168751687517149e-02 1.101731225477732146e+01
5.885158851588516427e-02 1.099062446466848719e+01
5.895148951489515010e-02 1.096403347945472362e+01
5.905139051390514288e-02 1.093753880278111090e+01
5.915129151291513565e-02 1.091113994164987311e+01
5.925119251192512149e-02 1.088483640639209327e+01
5.935109351093511426e-02 1.085862771063967180e+01
5.945099450994510704e-02 1.083251337129761538e+01
5.955089550895509287e-02 1.080649290851656730e+01
5.965079650796508565e-02 1.078056584566561149e+01
5.975069750697507148e-02 1.075473170930539091e+01
5.985059850598506426e-02 1.072899002916145328e+01
5.995049950499505703e-02 1.070334033809787755e+01
6.005040050400504287e-02 1.067778217209117031e+01
6.015030150301503564e-02 1.065231507020440738e+01
